deployment,level,instrument,depth_m,time_start,time_end,n_segments,n_valid,size_MB
LPL23,L2,LPL_8m,8,05-Dec-2023 17:12:04,13-Feb-2024 14:17:08,5897,5716,375.5
LPL23,L3,LPL_8m,8,05-Dec-2023 17:12:04,13-Feb-2024 14:17:08,5897,5716,1.5
LPL24,L2,LPL_8m,8,11-Dec-2024 17:48:29,21-Feb-2025 19:13:49,6081,4286,282.8
LPL24,L3,LPL_8m,8,11-Dec-2024 17:48:29,21-Feb-2025 19:13:49,6081,4286,1.2
LPL25A,L2,LPL_8m,8,05-Mar-2025 17:50:43,01-Jun-2025 02:46:11,7373,6686,439.6
LPL25A,L3,LPL_8m,8,05-Mar-2025 17:50:43,01-Jun-2025 02:46:11,7373,6686,1.8
LPL25B,L2,LPL_8m,8,08-Dec-2025 17:52:37,26-Feb-2026 17:52:37,6751,6025,395.7
LPL25B,L3,LPL_8m,8,08-Dec-2025 17:52:37,26-Feb-2026 17:52:37,6751,6025,1.6
Ruby2D,L2,Ruby2D_582_6m,6,19-Oct-2021 18:08:31,25-Feb-2022 23:09:15,10903,10364,681.2
SIO24A,L2,SIO_6m,6,28-Mar-2024 18:16:51,31-May-2024 21:58:43,5414,5062,333.3
SIO24A,L3,SIO_6m,6,28-Mar-2024 18:16:51,31-May-2024 21:58:43,5414,5062,1.3
SIO25B,L2,SIO_6m,6,17-Apr-2025 19:17:48,22-Jun-2025 21:38:36,5578,3692,244.2
SIO25B,L3,SIO_6m,6,17-Apr-2025 19:17:48,22-Jun-2025 21:38:36,5578,3692,1
SIO25C,L2,SIO_6m,6,18-Jul-2025 18:02:10,19-Jul-2025 11:06:10,61,61,4.1
SIO25C,L3,SIO_6m,6,18-Jul-2025 18:02:10,19-Jul-2025 11:06:10,61,61,0.1
SIO25D,L2,SIO_6m,6,04-Sep-2025 21:18:33,26-Nov-2025 20:25:13,7001,5527,364.4
SIO25D,L3,SIO_6m,6,04-Sep-2025 21:18:33,26-Nov-2025 20:25:13,7001,5527,1.4
SIO25E,L2,SIO_6m,6,25-Nov-2025 18:33:23,26-Feb-2026 18:01:23,7846,7041,463.6
SIO25E,L3,SIO_6m,6,25-Nov-2025 18:33:23,26-Feb-2026 18:01:23,7846,7041,1.8
SOL23,L2,MOP651_7m,7,16-Nov-2023 18:07:30,19-Jan-2024 18:07:30,5401,2974,196.9
SOL23,L2,MOP654_7m,7,16-Nov-2023 20:28:29,19-Jan-2024 17:54:53,5392,3564,235.6
SOL23,L3,MOP651_7m,7,16-Nov-2023 18:07:30,19-Jan-2024 18:07:30,5401,2974,0.9
SOL23,L3,MOP654_7m,7,16-Nov-2023 20:28:29,19-Jan-2024 17:54:53,5392,3564,1
SOL24,L2,MOP654_7m,7,04-Dec-2024 18:29:54,07-Feb-2025 08:26:10,5450,4160,274.7
SOL24,L3,MOP654_7m,7,04-Dec-2024 18:29:54,07-Feb-2025 08:26:10,5450,4160,1.2
SOL25A,L2,MOP654_7m,7,05-Mar-2025 18:22:54,17-May-2025 08:02:06,6124,5256,346.5
SOL25A,L3,MOP654_7m,7,05-Mar-2025 18:22:54,17-May-2025 08:02:06,6124,5256,1.4
SOL25B,L2,MOP654_7m,7,08-Dec-2025 19:23:20,26-Feb-2026 17:58:00,6746,6595,433.7
SOL25B,L3,MOP654_7m,7,08-Dec-2025 19:23:20,26-Feb-2026 17:58:00,6746,6595,1.7
TBR23,L2,MOP580_5m,5,03-May-2023 17:00:29,12-Jul-2023 09:49:23,5882,2890,192.6
TBR23,L2,MOP580_7m,7,17-May-2023 17:18:22,19-Jul-2023 08:18:32,5285,4795,315.4
TBR23,L2,MOP586_5m,5,17-May-2023 18:42:53,25-Jul-2023 14:28:58,5808,5074,336.2
TBR23,L2,MOP586_7m,7,17-May-2023 18:02:44,23-Jul-2023 00:05:16,5591,4891,321.8
TBR23,L3,MOP580_5m,5,03-May-2023 17:00:29,12-Jul-2023 09:49:23,5882,2890,0.9
TBR23,L3,MOP580_7m,7,17-May-2023 17:18:22,19-Jul-2023 08:18:32,5285,4795,1.3
TBR23,L3,MOP586_5m,5,17-May-2023 18:42:53,25-Jul-2023 14:28:58,5808,5074,1.4
TBR23,L3,MOP586_7m,7,17-May-2023 18:02:44,23-Jul-2023 00:05:16,5591,4891,1.3
TOR23W,L2,MOP580_5m,5,14-Nov-2023 17:37:39,22-Jan-2024 21:04:35,5835,3550,235.9
TOR23W,L2,MOP580_7m,7,14-Nov-2023 20:46:16,19-Jan-2024 17:59:52,5560,3726,246
TOR23W,L2,MOP586_10m,10,14-Nov-2023 21:34:38,19-Jan-2024 07:42:38,5521,3418,224.8
TOR23W,L2,MOP586_15m,15,14-Nov-2023 22:40:36,18-Jan-2024 03:30:44,5418,4212,275
TOR23W,L2,MOP586_5m,5,14-Nov-2023 18:30:39,17-Jan-2024 19:55:56,5406,3852,255.6
