mop,maxHs,medHs,m0_swell,m0_sea,depth,lat,lon,shorenormal
576,3.980,1.951,0.9188,0.0662,10.0,32.92185,-117.26656,270.5
577,4.333,2.046,1.1032,0.0651,10.1,32.92270,-117.26667,270.0
578,4.483,2.045,1.1829,0.0654,10.0,32.92327,-117.26669,267.0
579,4.716,2.169,1.3136,0.0661,10.0,32.92411,-117.26682,266.5
580,4.765,2.240,1.3422,0.0658,10.0,32.92472,-117.26693,263.9
581,4.549,2.323,1.2210,0.0626,10.0,32.92547,-117.26699,262.5
582,4.705,2.224,1.3111,0.0633,10.0,32.92631,-117.26715,262.0
583,4.562,2.151,1.2323,0.0618,10.0,32.92722,-117.26728,262.0
584,4.373,1.982,1.1297,0.0601,10.0,32.92812,-117.26737,262.0
585,3.594,1.685,0.7424,0.0591,10.0,32.92902,-117.26756,262.0
586,3.183,1.666,0.5690,0.0603,10.0,32.93019,-117.26775,264.5
587,3.518,1.774,0.7098,0.0602,10.0,32.93109,-117.26785,264.5
588,4.414,1.935,1.1529,0.0595,10.0,32.93198,-117.26807,264.5
589,4.378,1.939,1.1320,0.0597,10.0,32.93258,-117.26830,262.0
590,4.396,1.876,1.1384,0.0597,10.0,32.93341,-117.26859,261.5
