blk,umean,urms,vmean,vrms,wmean,corr,fbad,p
1,-0.02233,0.19794,0.01299,0.04416,0.00118,97.2,0.0000,9.023
2,-0.02637,0.18592,0.03297,0.04654,-0.00032,97.3,0.0000,8.907
3,-0.03916,0.21421,0.04343,0.05260,-0.00118,97.3,0.0000,8.806
4,-0.02060,0.22047,0.04169,0.04514,-0.00041,96.0,0.0000,8.704
5,0.00441,0.27130,0.05083,0.05028,-0.00060,94.9,0.0029,8.615
6,-0.00539,0.19873,0.06046,0.04848,0.00002,94.0,0.0004,8.545
7,0.01137,0.24863,0.05134,0.04808,-0.00087,95.6,0.0008,8.485
8,0.01909,0.24357,0.05080,0.05014,-0.00228,95.5,0.0004,8.462
9,-0.01206,0.21843,0.04775,0.05101,0.00080,94.8,0.0000,8.439
10,-0.03039,0.24006,0.03493,0.05229,-0.00062,95.1,0.0004,8.434
11,-0.03456,0.22748,0.03078,0.05333,-0.00055,92.8,0.0008,8.441
12,-0.03217,0.23763,0.02951,0.05042,0.00023,95.4,0.0000,8.475
13,-0.03529,0.26063,0.02632,0.05489,-0.00085,95.6,0.0004,8.515
14,-0.00815,0.25317,0.01762,0.05805,-0.00107,96.0,0.0000,8.577
15,0.03923,0.28839,-0.00914,0.05640,0.00256,96.9,0.0000,8.636
16,0.03691,0.24890,-0.00118,0.05505,0.00084,96.5,0.0000,8.729
17,0.03265,0.22567,0.00566,0.04968,0.00034,96.6,0.0000,8.823
18,0.02672,0.22679,0.01574,0.05205,-0.00111,96.6,0.0000,8.924
19,0.02337,0.24118,0.01638,0.05534,-0.00018,96.6,0.0000,9.029
20,0.02161,0.22657,0.01346,0.05688,0.00006,96.0,0.0000,9.129
21,0.01933,0.21016,0.00267,0.05963,0.00132,96.4,0.0000,9.228
22,0.00500,0.20101,-0.01739,0.05554,0.00260,97.0,0.0000,9.337
23,-0.00828,0.20325,-0.02896,0.05575,-0.00018,97.3,0.0000,9.431
24,-0.00797,0.20664,-0.05007,0.05692,-0.00398,97.1,0.0000,9.521
25,-0.01648,0.20151,-0.05737,0.05875,-0.00512,97.1,0.0000,9.607
26,-0.01176,0.20736,-0.07202,0.05813,-0.00507,97.1,0.0000,9.678
27,-0.00550,0.21733,-0.07143,0.05586,-0.00742,96.8,0.0000,9.726
28,0.00111,0.21904,-0.08558,0.05836,-0.00653,96.9,0.0000,9.768
29,0.00000,0.23947,-0.11337,0.05629,-0.00720,97.3,0.0000,9.809
30,0.00420,0.22289,-0.10729,0.06079,-0.00681,97.3,0.0000,9.810
31,-0.00018,0.20915,-0.11864,0.05995,-0.00667,97.2,0.0000,9.809
32,0.00736,0.23110,-0.12625,0.06140,-0.00654,97.3,0.0000,9.803
33,-0.00785,0.22009,-0.12083,0.06025,-0.00925,97.3,0.0000,9.791
34,-0.01900,0.23545,-0.09427,0.05780,-0.00700,97.1,0.0000,9.769
35,-0.01815,0.24398,-0.10751,0.06399,-0.00694,96.8,0.0000,9.738
36,-0.00761,0.23216,-0.10003,0.06322,-0.00567,97.0,0.0000,9.689
37,-0.03690,0.22666,-0.08737,0.06349,-0.00667,97.1,0.0000,9.643
38,-0.03253,0.23621,-0.07856,0.06169,-0.00636,97.2,0.0000,9.588
39,-0.02278,0.26085,-0.06120,0.06083,-0.00622,96.8,0.0000,9.535
40,-0.00226,0.23306,-0.09434,0.05900,-0.00591,96.7,0.0000,9.499
41,-0.00522,0.24676,-0.09581,0.06988,-0.00784,96.8,0.0000,9.454
42,-0.02978,0.22592,-0.07489,0.05792,-0.00676,97.0,0.0000,9.423
43,-0.04597,0.21981,-0.05171,0.05957,-0.00597,97.2,0.0000,9.395
44,-0.03261,0.22895,-0.04801,0.06248,-0.00391,97.2,0.0000,9.369
45,-0.04758,0.24487,-0.04727,0.06442,-0.00488,97.4,0.0000,9.356
46,-0.04993,0.22945,-0.05574,0.06031,-0.00566,97.3,0.0000,9.358
47,-0.04814,0.24607,-0.01895,0.06475,-0.00318,97.2,0.0000,9.373
48,-0.04408,0.22385,-0.01044,0.06089,-0.00133,97.0,0.0000,9.391
49,-0.04999,0.19218,-0.00793,0.05696,-0.00308,96.8,0.0000,9.422
50,-0.04937,0.23846,0.00071,0.06491,-0.00315,96.8,0.0000,9.455
51,-0.03048,0.20784,0.00411,0.06074,0.00124,96.9,0.0000,9.502
52,-0.02098,0.22436,0.01117,0.06360,0.00181,97.0,0.0000,9.551
53,-0.02596,0.21645,0.03397,0.06142,-0.00037,96.9,0.0000,9.601
54,-0.04410,0.20610,0.05415,0.05940,-0.00462,96.9,0.0000,9.660
55,-0.04912,0.21559,0.04135,0.06576,-0.00509,96.7,0.0000,9.712
56,-0.03621,0.20333,0.04607,0.06091,-0.00238,96.9,0.0000,9.774
57,-0.03421,0.20839,0.04371,0.06178,-0.00153,96.9,0.0000,9.819
58,-0.04440,0.19932,0.05241,0.06212,-0.00375,96.7,0.0000,9.868
59,-0.01122,0.20073,0.03202,0.06196,-0.00113,96.9,0.0000,9.908
60,0.00093,0.20894,0.01232,0.06742,0.00038,97.0,0.0000,9.935
61,-0.01539,0.22382,0.00229,0.06955,0.00426,96.7,0.0000,9.963
62,-0.01184,0.19981,-0.01896,0.06533,0.00055,96.9,0.0000,9.972
63,-0.01666,0.21379,-0.03860,0.06475,-0.00361,96.9,0.0000,9.975
64,-0.02791,0.19992,-0.04697,0.06331,-0.00404,96.9,0.0000,9.963
65,-0.02499,0.20115,-0.05175,0.06350,-0.00422,96.6,0.0000,9.950
66,-0.02073,0.22455,-0.02964,0.06269,-0.00094,96.2,0.0000,9.910
67,-0.00941,0.20407,-0.02969,0.06384,-0.00106,96.7,0.0000,9.869
68,0.01840,0.21254,-0.03741,0.06169,-0.00123,95.9,0.0000,9.804
69,-0.00582,0.19677,-0.03902,0.06276,-0.00158,97.4,0.0000,9.726
70,-0.04047,0.18498,-0.04695,0.06058,-0.00297,97.3,0.0000,9.640
71,-0.03617,0.18376,-0.03105,0.06067,-0.00285,96.7,0.0000,9.548
72,-0.01911,0.22093,-0.00729,0.06113,0.00298,96.6,0.0000,9.444
73,-0.01643,0.21133,0.02688,0.05865,0.00345,95.4,0.0000,9.349
74,-0.02679,0.21159,0.03892,0.06105,-0.00140,95.7,0.0000,9.251
75,-0.03434,0.21443,0.03290,0.06549,-0.00081,96.1,0.0000,9.161
76,-0.04281,0.22380,0.01065,0.06519,0.00011,95.7,0.0000,9.057
77,-0.03744,0.22189,0.03458,0.06606,-0.00349,96.4,0.0000,8.961
78,-0.03349,0.22613,0.05155,0.06942,-0.00034,96.1,0.0000,8.872
79,-0.01740,0.21717,0.05367,0.05907,0.00090,95.6,0.0000,8.787
