time,batt,c,heading,pitch,roll,T
2023-11-14 12:00:02,15.00,1516.9,85.9,41.30,160.99,19.19
2023-11-14 12:10:02,14.92,1518.0,85.9,41.30,161.03,19.27
2023-11-14 12:20:02,14.89,1518.4,85.9,41.30,161.04,19.37
2023-11-14 12:30:02,14.80,1518.4,85.9,41.30,161.05,19.48
2023-11-14 12:40:02,14.76,1518.4,86.0,41.30,161.08,19.60
2023-11-14 12:50:02,14.70,1518.4,86.0,41.30,161.11,19.70
2023-11-14 13:00:02,14.66,1519.7,86.0,41.30,161.13,19.78
2023-11-14 13:10:02,14.60,1519.8,86.0,41.30,161.14,19.85
2023-11-14 13:20:02,14.60,1519.8,86.0,41.30,161.16,19.90
2023-11-14 13:30:02,14.55,1519.8,86.1,41.30,161.22,19.95
2023-11-14 13:40:02,14.50,1519.8,86.1,41.30,161.23,19.97
2023-11-14 13:50:02,14.50,1519.8,86.1,41.30,161.23,20.00
2023-11-14 14:00:02,14.50,1519.8,86.1,41.30,161.23,20.01
2023-11-14 14:10:02,14.50,1519.8,86.1,41.30,161.23,20.01
2023-11-14 14:20:02,14.50,1519.8,86.1,41.30,161.24,20.02
2023-11-14 14:30:02,14.50,1519.8,86.0,41.30,161.24,20.04
2023-11-14 14:40:02,14.50,1519.8,86.1,41.30,161.24,20.05
2023-11-14 14:50:02,14.50,1519.8,86.1,41.30,161.24,20.01
2023-11-14 15:00:02,14.50,1518.7,117.9,-21.80,161.06,19.60
2023-11-14 15:10:02,14.50,1515.3,120.2,-21.84,161.95,18.40
2023-11-14 15:20:02,14.50,1510.9,79.7,-15.76,161.96,16.94
2023-11-14 15:30:02,14.50,1505.7,91.0,-22.01,161.92,15.24
2023-11-14 15:40:02,14.50,1504.9,87.8,-23.35,161.97,14.81
2023-11-14 15:50:02,14.50,1504.9,70.8,-17.49,162.03,14.86
2023-11-14 16:00:02,14.50,1504.9,84.7,-20.52,162.01,15.00
2023-11-14 16:10:02,14.50,1507.3,91.8,-33.46,161.99,15.72
2023-11-14 16:20:02,14.50,1510.2,117.0,-98.55,161.73,16.71
2023-11-14 16:30:02,14.50,1513.0,122.2,-89.31,161.76,17.61
2023-11-14 16:40:02,14.50,1515.5,120.9,-126.34,161.70,18.51
2023-11-14 16:50:02,14.50,1520.7,126.0,-146.81,161.70,20.36
2023-11-14 17:00:02,14.50,1522.5,80.4,-146.72,161.74,21.05
2023-11-14 17:10:02,14.50,1522.5,73.5,-142.16,161.76,21.01
2023-11-14 17:20:02,14.50,1519.5,117.4,-32.57,59.22,19.98
2023-11-14 17:30:02,14.50,1512.4,84.3,0.98,-0.26,17.45
2023-11-14 17:40:02,14.50,1510.5,84.7,0.93,-0.27,16.80
2023-11-14 17:50:02,14.50,1509.6,84.7,0.89,-0.27,16.58
2023-11-14 18:00:02,14.50,1509.6,84.8,0.87,-0.28,16.54
2023-11-14 18:10:02,14.50,1509.6,84.8,0.86,-0.28,16.56
2023-11-14 18:20:02,14.50,1509.6,84.8,0.86,-0.29,16.56
2023-11-14 18:30:02,14.50,1509.6,84.8,0.86,-0.29,16.58
2023-11-14 18:40:02,14.50,1509.6,84.8,0.86,-0.30,16.61
2023-11-14 18:50:02,14.50,1509.6,84.8,0.86,-0.30,16.57
2023-11-14 19:00:02,14.50,1509.6,84.8,0.86,-0.31,16.59
2023-11-14 19:10:02,14.50,1509.6,84.8,0.85,-0.31,16.68
2023-11-14 19:20:02,14.50,1509.6,84.8,0.86,-0.31,16.69
2023-11-14 19:30:02,14.50,1509.6,84.8,0.86,-0.31,16.66
2023-11-14 19:40:02,14.50,1509.8,84.8,0.85,-0.31,16.70
2023-11-14 19:50:02,14.50,1511.1,84.8,0.85,-0.31,16.78
2023-11-14 20:00:02,14.50,1511.1,84.8,0.85,-0.31,16.79
2023-11-14 20:10:02,14.50,1511.1,84.8,0.85,-0.31,16.85
2023-11-14 20:20:02,14.50,1511.1,84.8,0.85,-0.31,16.92
2023-11-14 20:30:02,14.50,1511.1,84.8,0.85,-0.31,16.97
2023-11-14 20:40:02,14.50,1511.1,84.8,0.85,-0.31,16.98
2023-11-14 20:50:02,14.50,1511.1,84.8,0.85,-0.31,16.96
2023-11-14 21:00:02,14.50,1511.1,84.8,0.85,-0.31,17.10
2023-11-14 21:10:02,14.50,1511.1,84.8,0.86,-0.31,17.16
2023-11-14 21:20:02,14.50,1511.1,84.8,0.86,-0.30,17.12
2023-11-14 21:30:02,14.50,1511.1,84.8,0.85,-0.29,17.14
2023-11-14 21:40:02,14.50,1511.1,84.8,0.84,-0.30,17.22
2023-11-14 21:50:02,14.50,1512.1,84.8,0.85,-0.30,17.24
2023-11-14 22:00:02,14.50,1511.1,84.8,0.85,-0.30,17.07
2023-11-14 22:10:02,14.50,1511.5,84.8,0.85,-0.30,17.20
2023-11-14 22:20:02,14.50,1512.6,84.8,0.84,-0.30,17.26
2023-11-14 22:30:02,14.50,1512.5,84.8,0.85,-0.30,17.28
2023-11-14 22:40:02,14.50,1512.6,84.8,0.85,-0.30,17.35
2023-11-14 22:50:02,14.50,1512.6,84.8,0.84,-0.30,17.35
2023-11-14 23:00:02,14.50,1511.1,84.8,0.84,-0.30,17.17
2023-11-14 23:10:02,14.50,1511.1,84.8,0.84,-0.30,17.05
2023-11-14 23:20:02,14.50,1511.1,84.8,0.84,-0.30,17.01
2023-11-14 23:30:02,14.50,1511.1,84.8,0.83,-0.30,16.99
2023-11-14 23:40:02,14.50,1511.1,84.8,0.83,-0.30,16.99
2023-11-14 23:50:02,14.50,1511.1,84.8,0.82,-0.30,17.01
2023-11-15 00:00:02,14.50,1511.1,84.8,0.82,-0.30,17.07
2023-11-15 00:10:02,14.50,1511.1,84.8,0.83,-0.30,17.04
2023-11-15 00:20:02,14.49,1511.1,84.8,0.82,-0.30,17.02
2023-11-15 00:30:02,14.48,1511.1,84.8,0.82,-0.30,17.00
2023-11-15 00:40:02,14.48,1511.1,84.8,0.82,-0.30,17.09
2023-11-15 00:50:02,14.47,1511.1,84.8,0.82,-0.30,17.18
2023-11-15 01:00:02,14.47,1511.1,84.8,0.82,-0.30,17.14
2023-11-15 01:10:02,14.46,1511.1,84.8,0.82,-0.30,17.05
2023-11-15 01:20:02,14.46,1511.1,84.8,0.82,-0.30,17.00
2023-11-15 01:30:02,14.46,1511.1,84.8,0.81,-0.30,16.99
2023-11-15 01:40:02,14.45,1511.1,84.8,0.80,-0.30,16.99
2023-11-15 01:50:02,14.45,1511.1,84.8,0.80,-0.30,16.98
2023-11-15 02:00:02,14.45,1511.1,84.8,0.80,-0.30,16.97
2023-11-15 02:10:02,14.44,1511.1,84.8,0.80,-0.30,16.97
2023-11-15 02:20:02,14.44,1511.1,84.8,0.79,-0.30,16.97
2023-11-15 02:30:02,14.42,1511.1,84.8,0.78,-0.30,16.96
2023-11-15 02:40:02,14.42,1511.1,84.8,0.79,-0.30,16.96
